"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M",
"Geography","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female",
"0500000US01001","Autauga County, Alabama","38.2","0.6","36.9","0.7","39.8","0.6",
"0500000US01003","Baldwin County, Alabama","43.0","0.3","41.8","0.4","44.4","0.2",
"0500000US01005","Barbour County, Alabama","40.4","0.5","38.7","0.8","43.3","0.6",
"0500000US01007","Bibb County, Alabama","40.9","1.3","38.5","1.6","43.8","2.1",
"0500000US01009","Blount County, Alabama","40.7","0.3","40.1","0.7","41.5","0.6",
"0500000US01011","Bullock County, Alabama","40.2","2.3","38.5","3.1","42.4","0.9",
"0500000US01013","Butler County, Alabama","40.8","0.7","39.1","1.0","42.7","1.4",
"0500000US01015","Calhoun County, Alabama","39.6","0.3","37.9","0.6","41.1","0.4",
"0500000US01017","Chambers County, Alabama","42.0","0.7","40.4","1.1","43.7","0.4",
"0500000US01019","Cherokee County, Alabama","46.5","0.5","45.6","0.8","47.0","0.8",
"0500000US01021","Chilton County, Alabama","38.7","0.7","38.1","0.9","39.9","1.4",
"0500000US01023","Choctaw County, Alabama","46.3","0.3","43.8","1.3","48.1","0.8",
"0500000US01025","Clarke County, Alabama","42.5","0.8","41.0","0.9","43.4","0.4",
"0500000US01027","Clay County, Alabama","43.3","0.8","42.7","2.2","44.3","1.0",
"0500000US01029","Cleburne County, Alabama","43.1","0.8","42.2","1.1","44.5","0.6",
"0500000US01031","Coffee County, Alabama","39.3","0.3","38.1","0.7","40.5","0.4",
"0500000US01033","Colbert County, Alabama","42.4","0.4","40.4","0.7","44.6","0.4",
"0500000US01035","Conecuh County, Alabama","44.8","0.3","42.2","3.4","47.2","1.7",
"0500000US01037","Coosa County, Alabama","48.4","1.0","46.7","0.8","49.8","0.5",
"0500000US01039","Covington County, Alabama","43.3","0.5","41.5","0.7","44.9","0.2",
"0500000US01041","Crenshaw County, Alabama","41.7","0.8","39.5","0.7","43.9","0.6",
"0500000US01043","Cullman County, Alabama","40.8","0.3","39.8","0.6","42.2","0.4",
"0500000US01045","Dale County, Alabama","37.3","0.5","35.6","0.3","39.5","0.6",
"0500000US01047","Dallas County, Alabama","39.6","0.4","38.0","1.1","40.3","0.7",
"0500000US01049","DeKalb County, Alabama","39.5","0.4","38.7","1.1","39.9","0.6",
"0500000US01051","Elmore County, Alabama","38.7","0.3","38.0","0.4","40.1","0.8",
"0500000US01053","Escambia County, Alabama","40.0","0.5","38.3","0.7","41.2","0.7",
"0500000US01055","Etowah County, Alabama","41.4","0.3","39.9","0.5","43.0","0.4",
"0500000US01057","Fayette County, Alabama","43.7","0.6","41.7","0.6","45.5","1.5",
"0500000US01059","Franklin County, Alabama","38.6","2.1","35.4","2.2","40.9","0.9",
"0500000US01061","Geneva County, Alabama","43.2","0.6","42.0","1.4","44.8","0.8",
"0500000US01063","Greene County, Alabama","40.9","3.0","36.6","2.9","45.3","2.2",
"0500000US01065","Hale County, Alabama","40.5","1.8","38.1","1.7","42.4","0.8",
"0500000US01067","Henry County, Alabama","44.4","0.4","42.1","1.5","46.2","0.6",
"0500000US01069","Houston County, Alabama","40.1","0.2","38.0","0.3","41.8","0.3",
"0500000US01071","Jackson County, Alabama","43.1","0.4","41.5","0.8","44.7","0.4",
"0500000US01073","Jefferson County, Alabama","37.7","0.2","36.0","0.1","39.3","0.2",
"0500000US01075","Lamar County, Alabama","44.8","0.3","44.2","1.5","46.1","0.7",
"0500000US01077","Lauderdale County, Alabama","41.0","0.5","38.5","0.6","43.2","0.4",
"0500000US01079","Lawrence County, Alabama","42.4","0.4","41.2","1.1","43.3","0.6",
"0500000US01081","Lee County, Alabama","31.9","0.2","30.4","0.1","33.2","0.3",
"0500000US01083","Limestone County, Alabama","39.7","0.4","38.7","0.4","40.7","0.5",
"0500000US01085","Lowndes County, Alabama","42.0","1.1","39.4","1.4","44.4","1.5",
"0500000US01087","Macon County, Alabama","38.6","0.6","37.3","1.0","40.3","1.2",
"0500000US01089","Madison County, Alabama","38.5","0.2","37.0","0.2","40.0","0.3",
"0500000US01091","Marengo County, Alabama","42.2","0.7","38.9","1.3","43.7","0.5",
"0500000US01093","Marion County, Alabama","44.3","0.4","42.9","0.9","45.6","0.6",
"0500000US01095","Marshall County, Alabama","38.8","0.4","36.8","0.4","40.2","0.5",
"0500000US01097","Mobile County, Alabama","37.9","0.2","36.3","0.2","39.1","0.3",
"0500000US01099","Monroe County, Alabama","43.3","0.5","41.7","1.8","44.2","1.0",
"0500000US01101","Montgomery County, Alabama","36.4","0.3","34.5","0.2","38.1","0.3",
"0500000US01103","Morgan County, Alabama","40.6","0.3","39.2","0.4","42.3","0.4",
"0500000US01105","Perry County, Alabama","36.9","1.4","35.5","2.6","38.6","0.5",
"0500000US01107","Pickens County, Alabama","42.2","0.7","39.0","1.6","44.2","0.6",
"0500000US01109","Pike County, Alabama","31.2","0.7","29.2","0.7","33.2","0.8",
